order_id,order_date,customer_name,region,category,product_name,sales,quantity,profit
1,2023-04-24,Michael,North,Technology,USB Hub,19930,10,5736.64
2,2023-06-27,John,West,Technology,Smartphone,5620,10,1418.41
3,2024-09-23,Amit,West,Furniture,Sofa,171,1,27.18
4,2024-08-24,Sneha,North,Technology,Smartphone,9976,8,2004.28
5,2024-09-20,Rahul,South,Office Supplies,Paper,38,2,17.25
6,2024-07-23,Sarah,East,Office Supplies,Binder,126,7,48.9
7,2023-07-22,John,West,Technology,USB Hub,582,2,108.13
8,2024-09-03,Sarah,West,Furniture,Desk,2817,9,164.25
9,2024-10-22,Rahul,East,Office Supplies,Stapler,120,10,51.01
10,2024-01-02,David,East,Technology,Laptop,10480,10,3031.46
11,2023-11-30,Priya,East,Office Supplies,Binder,68,2,23.66
12,2023-01-22,Michael,South,Office Supplies,Binder,196,7,90.39
13,2023-03-25,Sneha,North,Furniture,Sofa,6984,9,621.24
14,2023-03-14,Sarah,South,Office Supplies,Pen Set,282,6,111.27
15,2023-11-19,Rahul,West,Office Supplies,Stapler,95,5,30.53
16,2023-08-17,Priya,East,Furniture,Chair,8020,10,-802.0
17,2023-04-02,Amit,North,Office Supplies,Stapler,55,5,16.65
18,2023-01-28,Amit,North,Furniture,Sofa,680,2,42.22
19,2024-06-14,Michael,South,Technology,USB Hub,4032,6,644.53
20,2023-04-29,David,North,Technology,Monitor,7782,6,1252.82
21,2023-01-29,Chandan,East,Furniture,Bookshelf,8430,10,453.31
22,2024-03-19,Rahul,North,Office Supplies,Pen Set,171,9,76.35
23,2023-07-04,John,South,Office Supplies,Folder,115,5,37.52
24,2023-02-01,Michael,West,Technology,USB Hub,4686,3,1310.62
25,2024-06-22,Michael,West,Technology,Smartphone,10136,8,2749.01
26,2024-02-21,Emily,North,Furniture,Chair,2060,5,251.42
27,2024-04-17,David,North,Office Supplies,Folder,72,4,35.53
28,2023-05-02,John,South,Technology,USB Hub,1116,4,114.71
29,2023-01-17,Priya,West,Office Supplies,Binder,42,1,20.16
30,2023-01-12,John,South,Furniture,Bookshelf,4347,7,360.84
31,2024-01-18,Sneha,East,Technology,Laptop,1070,2,199.58
32,2023-02-05,Chandan,East,Office Supplies,Stapler,270,6,110.89
33,2024-10-07,Emily,East,Technology,Smartphone,4428,6,747.68
34,2024-11-08,Priya,East,Office Supplies,Pen Set,126,3,58.26
35,2023-02-20,David,South,Technology,Smartphone,4460,10,593.92
36,2023-04-21,Rahul,West,Furniture,Bookshelf,7560,8,1179.56
37,2024-01-31,Emily,North,Furniture,Sofa,3227,7,372.17
38,2024-03-08,David,North,Office Supplies,Binder,100,2,39.22
39,2024-03-09,Chandan,West,Technology,Smartphone,1230,1,189.67
40,2024-04-03,Emily,East,Office Supplies,Pen Set,200,4,-20.0
41,2023-05-03,Sneha,East,Technology,Laptop,10566,9,2549.0
42,2024-02-02,David,North,Furniture,Chair,1125,3,-112.5
43,2024-10-08,Michael,North,Furniture,Desk,6280,10,-628.0
44,2023-09-20,Rahul,East,Office Supplies,Binder,150,6,73.61
